iter	Passed	Remaining
0	4	1596
1	7	1513
2	11	1476
3	14	1435
4	18	1432
5	21	1414
6	25	1420
7	28	1410
8	32	1411
9	35	1403
10	39	1402
11	43	1392
12	46	1392
13	50	1385
14	54	1390
15	57	1387
16	61	1385
17	64	1372
18	68	1364
19	71	1354
20	74	1347
21	78	1342
22	81	1337
23	85	1332
24	88	1327
25	92	1324
26	95	1318
27	98	1313
28	102	1306
29	105	1302
30	108	1297
31	112	1294
32	115	1288
33	119	1283
34	122	1278
35	126	1278
36	129	1272
37	132	1266
38	136	1259
39	139	1255
40	142	1249
41	146	1244
42	149	1238
43	152	1232
44	155	1229
45	159	1225
46	162	1221
47	166	1218
48	170	1218
49	173	1217
50	177	1211
51	180	1209
52	183	1204
53	187	1200
54	190	1195
55	193	1191
56	197	1186
57	200	1183
58	204	1179
59	207	1175
60	210	1171
61	214	1168
62	217	1163
63	221	1160
64	224	1156
65	227	1153
66	231	1149
67	234	1145
68	237	1141
69	241	1137
70	244	1133
71	248	1131
72	251	1127
73	255	1123
74	258	1119
75	261	1115
76	264	1110
77	268	1106
78	271	1102
79	274	1098
80	277	1093
81	281	1089
82	284	1086
83	287	1082
84	291	1079
85	294	1076
86	297	1071
87	301	1067
88	304	1063
89	307	1060
90	311	1056
91	314	1052
92	317	1048
93	320	1044
94	324	1040
95	327	1037
96	330	1033
97	334	1032
98	338	1029
99	342	1026
100	345	1022
101	349	1021
102	353	1018
103	356	1015
104	359	1011
105	363	1008
106	366	1004
107	370	1000
108	373	996
109	376	993
110	380	989
111	383	986
112	387	982
113	390	980
114	394	977
115	397	973
116	400	969
117	404	966
118	407	961
119	410	958
120	413	954
121	417	951
122	420	947
123	424	944
124	427	940
125	430	936
126	433	932
127	437	929
128	440	925
129	443	922
130	447	918
131	450	915
132	454	911
133	457	908
134	460	904
135	464	901
136	467	897
137	470	894
138	474	890
139	477	886
140	481	883
141	484	880
142	487	876
143	490	872
144	494	868
145	497	865
146	500	862
147	504	858
148	507	855
149	511	851
150	514	848
151	517	844
152	520	841
153	524	837
154	527	833
155	530	830
156	534	826
157	537	823
158	540	819
159	544	816
160	547	813
161	551	809
162	554	806
163	557	802
164	560	798
165	564	795
166	567	791
167	570	788
168	573	784
169	577	781
170	580	777
171	583	773
172	586	769
173	590	766
174	593	762
175	596	759
176	600	755
177	603	752
178	607	750
179	611	747
180	614	743
181	618	740
182	621	736
183	624	733
184	628	730
185	631	727
186	635	723
187	638	720
188	642	716
189	645	713
190	649	710
191	652	707
192	655	703
193	660	700
194	663	697
195	666	694
196	670	690
197	673	687
198	677	683
199	680	680
200	684	677
201	687	673
202	690	670
203	693	666
204	696	662
205	700	659
206	703	656
207	707	652
208	710	649
209	713	645
210	716	641
211	719	638
212	722	634
213	726	631
214	729	627
215	733	624
216	736	621
217	740	618
218	744	614
219	747	611
220	750	608
221	754	604
222	757	601
223	761	598
224	764	594
225	767	590
226	770	587
227	774	584
228	777	580
229	780	577
230	783	573
231	786	569
232	790	566
233	793	562
234	796	559
235	799	555
236	803	552
237	806	549
238	810	545
239	813	542
240	816	538
241	819	535
242	823	531
243	826	528
244	830	525
245	833	522
246	837	518
247	840	515
248	843	511
249	847	508
250	850	505
251	854	501
252	857	498
253	860	494
254	864	491
255	868	488
256	871	484
257	874	481
258	878	478
259	881	474
260	884	471
261	887	467
262	891	464
263	894	460
264	897	457
265	901	454
266	904	450
267	907	446
268	910	443
269	914	440
270	917	436
271	920	433
272	923	429
273	926	426
274	930	422
275	933	419
276	937	416
277	940	412
278	943	409
279	947	405
280	950	402
281	953	399
282	957	395
283	960	392
284	963	388
285	967	385
286	970	382
287	973	378
288	977	375
289	980	371
290	983	368
291	986	364
292	990	361
293	993	358
294	996	354
295	1000	351
296	1003	348
297	1007	344
298	1010	341
299	1013	337
300	1017	334
301	1020	331
302	1024	327
303	1027	324
304	1030	321
305	1034	317
306	1037	314
307	1040	310
308	1044	307
309	1047	304
310	1051	300
311	1054	297
312	1057	294
313	1061	290
314	1065	287
315	1069	284
316	1072	280
317	1075	277
318	1079	274
319	1082	270
320	1085	267
321	1089	263
322	1092	260
323	1096	257
324	1099	253
325	1103	250
326	1106	247
327	1109	243
328	1113	240
329	1116	236
330	1119	233
331	1123	230
332	1126	226
333	1130	223
334	1134	220
335	1137	216
336	1141	213
337	1144	210
338	1148	206
339	1151	203
340	1154	199
341	1158	196
342	1163	193
343	1166	189
344	1170	186
345	1173	183
346	1177	179
347	1180	176
348	1184	173
349	1187	169
350	1191	166
351	1195	162
352	1198	159
353	1202	156
354	1205	152
355	1208	149
356	1211	145
357	1215	142
358	1218	139
359	1222	135
360	1225	132
361	1228	129
362	1232	125
363	1235	122
364	1239	118
365	1242	115
366	1245	112
367	1249	108
368	1252	105
369	1255	101
370	1259	98
371	1262	95
372	1266	91
373	1269	88
374	1272	84
375	1276	81
376	1279	78
377	1282	74
378	1286	71
379	1289	67
380	1293	64
381	1296	61
382	1300	57
383	1303	54
384	1306	50
385	1310	47
386	1313	44
387	1316	40
388	1320	37
389	1323	33
390	1326	30
391	1329	27
392	1333	23
393	1336	20
394	1339	16
395	1343	13
396	1346	10
397	1349	6
398	1353	3
399	1356	0
