iter	Passed	Remaining
0	5	2182
1	10	2062
2	14	1915
3	17	1754
4	22	1778
5	26	1744
6	30	1733
7	35	1733
8	39	1706
9	42	1675
10	48	1720
11	52	1688
12	57	1709
13	60	1681
14	64	1660
15	70	1683
16	74	1670
17	77	1650
18	81	1629
19	85	1616
20	89	1610
21	93	1602
22	96	1582
23	99	1562
24	102	1544
25	106	1526
26	109	1514
27	112	1491
28	115	1481
29	120	1488
30	124	1479
31	127	1465
32	130	1454
33	133	1438
34	137	1432
35	140	1425
36	144	1415
37	148	1409
38	151	1402
39	155	1395
40	158	1387
41	162	1385
42	165	1375
43	169	1370
44	173	1368
45	177	1363
46	180	1356
47	183	1348
48	186	1339
49	190	1333
50	193	1321
51	196	1316
52	199	1305
53	202	1296
54	205	1289
55	208	1283
56	211	1274
57	214	1267
58	217	1259
59	221	1255
60	224	1249
61	227	1239
62	230	1233
63	234	1229
64	237	1223
65	240	1217
66	243	1209
67	246	1203
68	249	1198
69	253	1194
70	256	1186
71	259	1181
72	261	1173
73	265	1169
74	269	1169
75	273	1165
76	276	1160
77	279	1154
78	282	1148
79	285	1142
80	288	1135
81	291	1129
82	294	1126
83	298	1122
84	302	1119
85	305	1114
86	308	1111
87	311	1105
88	314	1097
89	317	1093
90	320	1089
91	324	1085
92	327	1081
93	331	1078
94	334	1073
95	337	1068
96	340	1063
97	343	1058
98	346	1053
99	349	1049
100	352	1042
101	355	1039
102	359	1035
103	362	1030
104	364	1024
105	367	1019
106	371	1016
107	374	1012
108	377	1007
109	380	1003
110	383	999
111	386	993
112	389	990
113	393	986
114	396	983
115	399	978
116	402	974
117	405	969
118	408	965
119	411	960
120	414	956
121	417	952
122	420	946
123	423	943
124	426	938
125	430	935
126	432	930
127	435	926
128	439	923
129	443	920
130	446	917
131	449	912
132	452	908
133	456	905
134	459	901
135	461	895
136	464	892
137	468	889
138	471	885
139	475	883
140	478	879
141	480	873
142	484	870
143	487	867
144	491	864
145	494	860
146	497	856
147	500	852
148	503	848
149	506	844
150	509	840
151	512	836
152	514	831
153	517	827
154	520	823
155	524	819
156	527	815
157	529	811
158	532	807
159	536	804
160	539	800
161	541	795
162	544	791
163	547	788
164	551	785
165	554	781
166	557	778
167	561	775
168	565	772
169	568	769
170	572	766
171	575	763
172	579	760
173	582	756
174	585	753
175	589	750
176	593	747
177	596	743
178	600	741
179	603	738
180	607	734
181	611	732
182	615	729
183	620	728
184	623	724
185	627	721
186	631	719
187	635	716
188	639	714
189	643	711
190	647	708
191	650	704
192	654	702
193	657	698
194	662	696
195	665	693
196	669	689
197	673	687
198	677	684
199	681	681
200	685	678
201	689	675
202	693	672
203	696	669
204	700	666
205	703	662
206	708	660
207	712	657
208	716	654
209	720	651
210	724	648
211	728	645
212	731	642
213	734	638
214	738	635
215	741	632
216	745	628
217	749	625
218	752	621
219	755	618
220	758	614
221	761	610
222	764	606
223	768	603
224	770	599
225	773	595
226	776	592
227	780	588
228	783	585
229	787	582
230	790	578
231	794	574
232	797	571
233	801	568
234	805	565
235	809	562
236	813	559
237	818	556
238	821	553
239	824	549
240	830	548
241	834	545
242	838	541
243	857	548
244	860	544
245	863	540
246	866	536
247	869	532
248	872	529
249	875	525
250	878	521
251	882	518
252	886	514
253	889	511
254	892	507
255	895	503
256	897	499
257	900	495
258	903	492
259	906	488
260	910	484
261	913	480
262	915	477
263	919	473
264	922	469
265	925	466
266	928	462
267	931	458
268	935	455
269	938	451
270	942	448
271	945	445
272	949	441
273	953	438
274	956	434
275	960	431
276	963	427
277	966	424
278	970	420
279	973	417
280	977	413
281	980	410
282	984	406
283	987	403
284	991	400
285	995	396
286	999	393
287	1003	390
288	1006	386
289	1009	383
290	1013	379
291	1017	376
292	1021	372
293	1024	369
294	1027	365
295	1031	362
296	1034	358
297	1037	355
298	1041	351
299	1045	348
300	1048	344
301	1051	341
302	1054	337
303	1059	334
304	1061	330
305	1065	327
306	1068	323
307	1071	320
308	1075	316
309	1079	313
310	1082	309
311	1086	306
312	1090	302
313	1093	299
314	1096	295
315	1101	292
316	1104	289
317	1108	285
318	1111	282
319	1114	278
320	1119	275
321	1122	271
322	1125	268
323	1129	264
324	1133	261
325	1136	257
326	1140	254
327	1143	250
328	1146	247
329	1149	243
330	1153	240
331	1156	236
332	1160	233
333	1164	230
334	1166	226
335	1172	223
336	1176	219
337	1179	216
338	1182	212
339	1186	209
340	1190	205
341	1193	202
342	1196	198
343	1200	195
344	1204	192
345	1208	188
346	1211	185
347	1214	181
348	1218	178
349	1222	174
350	1227	171
351	1230	167
352	1234	164
353	1238	160
354	1240	157
355	1244	153
356	1248	150
357	1252	146
358	1256	143
359	1260	140
360	1263	136
361	1266	132
362	1271	129
363	1274	126
364	1278	122
365	1283	119
366	1287	115
367	1291	112
368	1294	108
369	1298	105
370	1302	101
371	1304	98
372	1308	94
373	1312	91
374	1316	87
375	1319	84
376	1323	80
377	1326	77
378	1329	73
379	1332	70
380	1336	66
381	1339	63
382	1344	59
383	1348	56
384	1353	52
385	1356	49
386	1359	45
387	1364	42
388	1367	38
389	1371	35
390	1375	31
391	1380	28
392	1384	24
393	1388	21
394	1391	17
395	1395	14
396	1399	10
397	1403	7
398	1407	3
399	1410	0
